अँगड़ाई	yawn  
तत्त्वे	elements
तत्पर	Curious
तत्परता	briskness
तत्व	essence
तत्वज्ञान	Philosophy
तत्वज्ञानी	philosopher
तत्वावधान	philosopher
तत्वों	elements
तथा	And
तथास्तु	bless
तथ्य	Proof
तथ्यों	Proof
तन	Body
तनविर	Tanvir
तनवीर	Tanvir
तनह	lonely
तनहा	loneliness
तनहाई	loneliness
तनाव	Tension
तनावकॊ	Tension
तनावको	Tension
तनावपुरन	Tension
तनावपूर्ण	Tension
तनुशरि	Tanusree
तनुश्री	Tanusree
तन्	mind
तन्त्र	machine
तन्स़ानिया	Tanzania
तन्हा	lonely
तन्हाइयाँ	loneliness
तन्हाई	loneliness
तन्हाईयों	loneliness
तप	Penance
तपति	Tapti
तपमान	temperature
तपस्या	meditate
तब	then
तबला	Tabla
तबियत	Health
तबीयत	Health
तब्बू	taboo
तभी	then
तमंन	Wish
तमन्ना	Wish
तमाम	All
तमाश	spectacle
तमाशा	spectacle
तमिल	Tamil
तमिलनाडु	Tamilnadu
तमिलनाडुयागु	Tamilnadu
तमिळ	Tamil
तय	decide
तयागराज	Tyagaraja
तयागि	Sacrifice
तयार	Ready
तयारि	Ready
तयारिम	Ready
तयारी	Ready
तयॊहार	Festival
तयौहार	Festival
तरंग	Wave
तरकश	quiver
तरक्की	Promotion
तरज	balance
तरण	young
तरफ	Side
तरफ़	Side
तरफा	Side
तरयंबकॆशवर	Triambakeswar
तरल	Liquid
तरस	sigh
तरसत	sigh
तरह	Like
तरहि	like
तरही	like
तराई	lowland
तराईम	lowland
तराईमा	lowland
तरिक	Method
तरिका	Method
तरिकॆ	Method
तरिकॊ	Method
तरिकॊं	Method
तरिकॊन	Triangle
तरिनिडाड	Trinidad
तरिपाटि	Tripathi
तरिवॆदि	Trivedi
तरिवॆनि	Triveni
तरिशंकु	Cone
तरिशुल	trident
तरिहि	like
तरीक़े	method
तरीका	method
तरीके	method
तरीकों	method
तरीखो	method
तरीही	method
तरीक़ों	method
तरुण	young
तरुन	young
तर्क	logic
तरफ़	Side
तल	Surface
तलवार	Sword
तलवारॆं	Sword
तलवारें	Sword
तलाक	Divorce
तलाश	Search
तलाशत	Search
तलाशता	Search
तलाशने	Search
तलाशि	Search
तलाशी	Search
तसकरि	Steal
तसलिम	Taslim
तसलीम	Taslim
तसविर	Photograph
तसविरॆं	Photograph
तसविरॊं	Photograph
तसुनामि	Tsunami
तस्कर	smuggle
तस्करी	smuggle
तस्करों	smuggle
तस्बिर	Photograph
तस्वीर	Photograph
तस्वीरें	Photograph
तस्वीरों	Photograph
तह	strata
तहत	according
तहलका	Tahelka
तहसील	Tahsil
तांडव	Dance
तांतरिक	sorcerer
तांत्रिक	sorcerer
तांत्रीक	sorcerer
ताइलैंड	Thailand
ताइवान	Taiwan
ताइवानि	Taiwan
ताइवानी	Taiwan
ताई	Sister
ताईं	Sister
ताईपॆई	Taipei
ताईपेई	Taipei
ताईलैंड	Thailand
ताईवान	Taiwan
ताऊ	uncle
ताकत	Power
ताकतवर	Powerful
ताकतॆ	Power
ताकतॆं	Power
ताकते	Power
ताकतें	Power
ताकि	So that
ताज	taj 
महल	mahal
ताजगी	Freshness
ताजमहल	Tajmahal
ताज़ा	Fresh
ताज़ी	Fresh
ताजा	Fresh
ताजि	Fresh
ताजिकिसतान	Tajakistan
ताजिकिस्तान	Tajakistan
ताजॆ	Fresh
ताजे	Fresh
तातकालिक	Temporary
तात्कालिक	Temporary
तात्पर्य	Meaning
तादाद	Quantity
तान	Tune
तानसॆन	Tansen
तानसेन	Tansen
ताना	Warp,Taunt
तानाजि	Tanaji
तानाजी	Tanaji
तानाशाह	Tanashah
तानाशाहॊं	Tanashah
तानाशाहों	Tanashah
तानॆ	Thane
ताने	Thane
तापमान	Temperature
तापि	heat
तापी	heat
ताबुत	coffin
तामर	Lotus
तामिळनाडु	Tamilnadu
तामिळनाडुमदिल	Tamilnadu
तामीळनाडू	Tamilnadu
तामीळनाडूमधील	Tamilnadu
ताम्र	gold
तायलंड	Thailand
तार	Telegram
तारा	Star
तारापुर	Tarapur
तारारमपम	Tararumpum
ताराशंकर	Tarashankar
तारिक	Date
तारिकॆ	Date
तारिप	Praise
तारीख	Date
तारीखे	Date
तारीफ	Praise
तारीफ़	Praise
तारुण्य	youth
तारुनय	youth
तारे	Star
तारॊ	Star
तारॊं	Star
तारो	Star
तारों	Star
ताल	clap
तालमॆल	Combination
तालमेल	Combination
ताला	Lock
तालाब	Pond
तालाबानि	Lockout
तालाबानी	Lockout
तालि	Clap
तालिका	List
तालिबान	Taliban
तालिबानि	Taliban
तालिबानियॊ	Taliban
तालिबानियॊं	Taliban
तालिबानियो	Taliban
तालिबानियों	Taliban
तालिबानी	Taliban
तालिबानॊं	Taliban
तालिबानों	Taliban
तालिम	Education
ताली	clap
तालीबान	Taliban
तालॆबान	Taliban
तालेबान	Taliban
ताहिर	Taher
ताज़ा	Fresh
तितर	Scatter
तितलि	Butterfly
तितलियाँ	Butterfly
तितलियां	Butterfly
तितलियों	Butterfly
तितली	Butterfly
तिथि	Date
तिपसॆ	Tipsay
तिबॆट	Tibet
तिबेट	Tibet
तिब्बत	Tibet
तिब्बती	Tibet
तिमपु	Thimpu
तिमॊर	Timor
तिमोर	Timor
तियॆटर	Theatre
तियॊडॊर	Theodre
तिरंग	Tricolour
तिरंगा	Tricolour
तिरंगॆ	Tricolour
तिरंगे	Tricolour
तिरचि	Slanting
तिरछी	Slanting
तिरत	quick
तिरतयातर	Pilgrimage
तिरतयातरि	Pilgrimage
तिरतयातरियॊं	pilgrims
तिरपन	Fifty three
तिरसकारित	Rejected
तिरसट	Sixty three
तिरसठ	Sixty three
तिरस्कारित	Rejected
तिरानवॆ	Ninety three
तिरानवे	Ninety three
तिरासि	eighty three
तिरासी	eighty three
तिरुअनंतपुरम	Tiruvananthapuram
तिरुपति	Tirupati
तिरुवरुर	Tiruvarur
तिरूवरुर	Tiruvarur
तिर्यक	across
तिल	Sesamum
तिलक	Tilak
तिलकरतनॆ	Tilakratne
तिलकरत्ने	Tilakratne
तिलहन	Oil seeds
तिलॊततम	Tilottama
तिलोत्तमा	Tilottama
तिवारि	Tiwari
तिवारी	Tiwari
तिवारी।	Tiwari
तिसरा	third
तिसरि	third
तिसरॆ	third
तिसरे	third
तिहततर	Seventy three
तिहत्तर	Seventy three
तिहाई	One third
तिहाड	One third
तिहार	Threefold 
तीखी	Sharp
तीखे	Sharp
तीन	Three
तीनों	Three
तीया	woman
तीर	Arrow
तीरंदाज	sure
तीर्थ	Sacred
तीर्थक्षेत्रे	Sacred place
तीर्थयात्रा	Piligrimage
तीर्थयात्रियों	Piligrims
तीर्थयात्री	Piligrim
तीली	Spoke
तीव्र	Severe
तीव्रता	Severe
तीस	Thirty
तीसरा	Third
तीसरी	Third
तीसरे	Third
तु	you
तुंग	high
तुक	Rhyme
तुकक	Piece
तुकडॆ	Piece
तुकडे	Piece
तुकाराम	Tukaram
तुज	You
तुजकॊ	You
तुजसॆ	You
तुजॆ	You
तुझ	You
तुझको	You
तुझसे	You
तुझे	You
तुझ्या	You
तुन्गनाथ	Tunganath
तुपान	cyclone
तुपानगरसत	cyclone
तुम	You
तुमकॊ	You
तुमको	You
तुमनॆ	You
तुमने	You
तुमसॆ	You
तुमसे	You
तुमहार	Yours
तुमहारि	Yours
तुमहारॆ	Yours
तुमहॆ	you
तुमहॆं	you
तुम्	you
तुम्हारा	Yours
तुम्हारी	Yours
तुम्हारे	Yours
तुम्हे	You
तुम्हेँ	You
तुम्हें	You
तुरंत	Quick, soon
तुरकमॆन	Turk
तुरकमॆनिसतान	Turkmenistan
तुरकि	Turkey
तुरकियॆ	Turkey
तुरकियॊं	Turkey
तुरतुरिय	horn
तुरतुरिया	horn
तुरी	trumpet
तुर्कमेन	Turk
तुर्कमेनिस्तान	Turkmenistan
तुर्किये	Turkey
तुर्कियों	Turkey
तुर्की	Turkey
तुलन	Compare
तुलना	Compare
तुलनातमक	Comparable
तुलनात्मक	Comparable
तुलसि	Tulasi
तुलसिदास	Tulasidas
तुलसी	Tulsi
तुलसीदास	Tulasidas
तुला	Balance
तुलाचन	Balance
तुलिक	spotted
तुलियम	Compare
तुलॊं	Compare
तुलों	Compare
तुवर	pigeon pea
तुशार	Tushaar, frost
तुषार	Frost
तुसाड	Tussade
तू	You
तूँ	You
तूने	You
तूफ़ान	Cyclone
तूफान	Cyclone
तूफानग्रस्त	Cyclone
तूफानी	Cyclonic
तूफानों	Cyclones
तूर	kind of
तूलिका	Brush
तूळ	Cotton
तूफ़ान	Cyclone
तृणमुल	Third
तृतियः	Third
तृतीय	Third
तृतीयः	Third
तृनमुल	Trunamul
तॄश	Trisha
तॄषा	Trisha
तॆ	they
तॆंकसगिविंग	Thanks giving
तॆंडुलकर	Tendulkar
तॆंदुलकर	Tendulkar
तॆईस	Twenty three
तॆईसवां	Twenty third
तॆज	Glory
तॆजस	Glory
तॆजि	Sharpness
तॆजॆंदर	Tejender
तॆजॆशवर	Tejeshwar
तॆनसिंग	Tensing
तॆरह	Thirteenth
तॆरहवां	Thirteenth
तॆरि	Yours
तॆरॆ	Yours
तॆलुगु	Telugu
तॆवर	Angry look
तॆहरान	Tehran
ते	they
तेंडुलकर	Tendulkar
तेंदुलकर	Tendulkar
तेईस	Twenty Three
तेईसवां	Twenty Third
तेज	Glory
तेजस	glory, shine
तेज़	Fast, tough, heavy
तेज़ी	Fast, tough, heavy
तेजी	Sharpness
तेजेन्द्र	Tejendra
तेनसिंग	Tensing
तेपेइ	Teipie
तेरह	Thirteen
तेरहवां	Thirteenth
तेरा	Yours
तेरावा	Thirteenth
तेरावे	Thirteenth
तेरी	Your
तेरे	Your
तेरेसा	Teresa
तेरो	your
तेल	Oil
तेली	Oil man
तेलुगु	Telugu
तेलुगू	Telugu
तेवर	Angry look
तेहरान	Tehran
तेज़	Fast
तैंतालिस	Forty three, 43
तैंतिस	Thirty three, 33
तैनात	Security
तैनाती	Secure
तैयार	Ready
तैयारि	Preparation
तैयारियाँ	Preparations
तैयारियों	Ready
तैयारी	Ready
तैरत	Swimmer
तैरने	Swim
तैराक	Swim
तैवान	Taiwan
तॊड	Break
तॊडपॊड	Breakage, damage
तॊडि	Broke
तॊमस	Thomas
तॊरिनॊ	Torino
तॊलिया	Towel
तॊहर	Your
तो	Else
तोडफोड	Breakage, damage
तोड़	Break
तोड़ना	Breaking
तोड़ने	Break
तोड़ा	Break
तोता	Parrot
तोबा	Excuse
तोहफ़ा	Gift
तोहफा	Gift
तोहरा	Your
तोड़	Break
तोड़ने	Break
तोड़ा	Break
तौर	Method, approach
त्याग	Sacrifice
त्योहार	Festival
त्योहारों	Festivals
त्रिकोण	Triangle
त्रिकोणीय	Triangular
त्रिपाठी	Tripathi
त्रिपुरा	Tripura
त्रिवेणी	Triveni
त्रिवेदी	Trivedi
त्रिशूल	Trishul, Trident
त्र्यंबकेश्वर	Trayambakeshwar
त्वचा	Body, Skin
त्सूनामी	Tsunami
तख़्त	Strict
तड़पाती	Made to suffer
थक	Tire
थकान	Tireness
थके	Tired
थन्डरबर्ड	Thunderbird
थप्पड़	Slap
थम	Stand by, stop
थमा	Prefix, prior
थलसेना	Army, land forces
थाइलैंड	Thailand
थाइवान	Taiwan
थाई	Thai
थाईलैंड	thailand
थाना	Jail
थाने	Jail
थायलंड	Thailand
थार	Thar
थाली	Plate
थियेटर	Theater
थीम	Theme
थेंक्सगिविंग	Thanksgiving
थैंक्यू	Thank you
थैंक्स	Thanks
थैंक्सगिविंग	Thanksgiving
थॉमसन	Thomson
थॉम्पसन	Thompson
थो	Then
थोड़ा	little
थोड़ी	little
थोड़े	little
थोमस	Thomas
थोड़ा	little
थोड़ी	little
थोड़े	little
दंग	Surprised
दंगा	Rumor
दंगे	Rumor
दंगों	Rumor
दंड	Punish
दंत	Tooth
दंपति	Married Couple
दंश	Bite
दकशिन	South
दक्षिण	south
दक्षिणी	South
दखल	Interrupt
दत्त	Pay
दत्ता	Dutta
दत्तात्रय	Duttatray
दनंजय	Dhananjay
दफनाने	cremate
दफनाया	Cremate
दफ्तर	Office
दबा	Press
दबाव	Pressure
दबे	Press
दम	Strength
दमदार	Strong
दमन	Suppression
दया	compassion
दयानंद	Dayanand
दयाल	Dayal
दर	Fare
दरअसल	Actually
दरकार	respectful
दरजनॊं	Dozen
दरपन	Mirror
दरबार	Court
दरमियाँ	During
दरमियां	During
दरवाज़ा	Door
दरवाजा	Door
दरवाजे	Doors
दरार	Gap
दर्ज	Record
दर्जन	Recording
दर्जनों	Record
दर्जा	Class
दर्द	Pain
दर्पण	Mirror
दर्शक	Audience
दर्शकों	Audience
दर्शन	View
दल	Gang
दलदल	swamp
दलाई	Dalai
दलाईलामा	Dalai lama
दलाल	Broker
दलित	Underprivileged  
दलितों	Underprivileged  
दलील	Argument, plea
दलों	Gang, troop
दवलागिरि	Davalagiri
दवा	Medicine
दवाई	Medicine
दवाएं	Medicine
दवाओं	Medicine
दवाखाना	Pharmacy
दशक	decade
दशकों	decade
दशरत	Dashrath
दशरथ	Dashrath
दशहरा	Dussera
दशा	Condition
दस	Ten 
दसवां	Tenth
दसॊं	Tens 
दस्तक	Artisan
दस्तख़त	Signature
दस्तावेज	Document
दहशत	Violence
दही	Curd
दहेज	Dowry
दहेज़	Dowry
दाँव	gamble
दांडेकर	Daandekar
दांत	Teeth
दांव	gamble
दाई	grand mother
दाउद	Daawood
दाऊद	Daawood
दाखिल	Join
दाखिला	Join
दाग	Blot
दागा	Thread
दागे	bazooka
दाडि	Beard
दाद	Ringworm
दादर	Dadar
दादरा	Dadra
दादा	Grandfather
दादाजी	Grandfather
दादी	Grandmother
दान	Donate
दाना	Grain
दाने	Grain
दाम	Fare
दामाद	Son in law
दामॊदर	Damodar
दायरा	Frame
दायरे	Near by
दायित्व	Role
दारफुर	Darfur
दारावाहिक	Serial
दारु	Liquor
दार्शनिक	Viewable
दाल	Dal
दावत	Party
दावा	Claim
दावे	Claim
दावेदार	Claim
दास	Servant
दास्तान	Story
दिए	Gave
दिकशित	dixit
दिक्कत	Discomfort
दिख	see
दिखता	see
दिखती	see
दिखते	see
दिखने	see
दिखा	Show
दिखाई	Show
दिखाए	Show
दिखाकर	Show
दिखाता	Show
दिखाते	Show
दिखाना	Show
दिखाने	Show
दिखाया	Show
दिखी	Seen
दिखे	Seen
दिखेंगे	Seen
दिगविजय	victorious
दिग्गज	Expert
दिग्विजय	Digvijay
दिदि	Sister
दिन	Day
दिनकर	Dinakar
दिनचर्या	Days work
दिनभर	Whole day
दिनांक	Date
दिनार	Dinar
दिनॆश	dinesh
दिनॆशपाटक	Dinesh pathak
दिनेश	Dinesh
दिनॊ	Days  
दिनों	Days  
दिपक	lamp
दिपकबापु	Dipak babu
दिपति	Dipti
दिपावलि	Dipawali
दिमाग	Brain, mind
दिया	Give
दिये	Give
दिरेक्टेर्स	Directors
दिल	Heart
दिलचस्प	Interesting
दिलचस्पी	Interest
दिलबर	Sweetheart
दिललगि	Heart break
दिलिप	Dilip
दिलों	Hearts
दिल्ली	Delhi
दिवस	Day
दिवसीय	Day
दिवान	Seat rest
दिवानगी	Madness
दिवाना	Mad
दिवार	Wall
दिवाली	Diwali
दिव्य	Devine, supernatural
दिव्या	Divya
दिशा	Direction, Way
दिसंबर	December
दिसपुर	Dispur
दिसम्बर	December
दीक्षा	Vow
दीक्षित	Dixit
दीजिए	Give
दीदी	Sister
दीप	Lamp
दीपक	lamp
दीपकबापू	Deepakbabu
दीपकभारतदीप	Deepak barat deep
दीपा	Deepa
दीपावली	Diwali
दीया	Lamp
दीर्घ	Long
दीवाना	Mad
दीवानी	Mad
दीवाने	Mad
दीवार	Wall
दीवारों	Wall
दीवाली	diwali
दुःख	Sad
दुःखी	Sad
दुआ	Blessing
दुकान	Shop
दुकानदार	Shopkeeper
दुकानें	Shops
दुकानों	Shops
दुख	Sad
दुखद	Sad
दुखी	Sad
दुनिया	World
दुनियाभर	World
दुपट्टा	Scarf
दुबई	Dubai
दुबारा	Again
दुबॆ	Dubey
दुराचार	Bad manners
दुरुपयोग	Misuse
दुरुस्त	Fine
दुर्ग	Durg
दुर्गन्धित	Polluted
दुर्गा	Durga
दुर्गाप्रसाद	DurgaPrasad
दुर्घटना	Accident
दुर्घटनाग्रस्त	Accident prone
दुर्दशा	Bad condition
दुर्भाग्य	Bad luck
दुर्भाग्यपूर्ण	Unlucky
दुर्लभ	Weak
दुर्व्यवहार	abuse 
दुलहन	Bride
दुलहनिया	Bride
दुल्हन	Bride
दुविधा	Problem
दुशपरचार	Rumor
दुशयंत	Dushyant
दुश्मन	Enemy
दुष्कर्म	Bad deed
दुष्प्रचार	Rumor
दुष्यंत	Dushyant
दुष्यन्त	Dushyant
दूंगा	Give
दूत	Messenger
दूतावास	Chancellery
दूध	Milk
दूर	Far
दूरदर्शन	Doordarshan
दूरबीन	Telescope
दूरसंचार	Door sanchar
दूरियां	distances
दूरी	Distance
दूसरा	Second
दूसरे	Other
दूसरों	Others
दृढ़ता	Determination
दृपल	Drupal
दृश्य	Picture
दृश्यों	Picture
दृष्टि	Sight
दृष्टिकोण	Viewpoint
दृढ़	Firm
दॆबाशिश	Debashish
दॆबु	Debu
दॆवकि	Devaki
दॆवगन	Devagan
दॆवदास	Devadas
दॆवराज	Devaraj
दॆवलॊक	Heaven
दॆवि	goddess
दॆविलाल	Devilal
दॆवॆंदरनात	Devendernath
दॆवॆश	Devesh
दॆश	Country
दॆशपांडॆ	Deshpande
दॆशवयापि	Countrywide
दॆसाई	Desai
दॆसि	Ingenious
दॆहरादुन	dehradun
देंगी	Give
देंगे	Give
देऊ	Dewoo
देकर	Giving
देख	see
देखकर	see
देखता	see
देखती	see
देखते	see
देखना	see
देखने	see
देखभाल	Taking care
देखरेख	Taking care
देखा	Seen
देखिए	see
देखी	Seen
देखे	See 
देखें	see
देखेंगे	See 
देखो	See 
देगा	Give
देगी	Give
देता	Give
देती	Give
देते	Give
देन	Give
देना	Give
देनी	Give
देने	Give
देबाशीष	Debashish
देबू	Debu
देर	Delay
देरी	Delay
देव	Dev
देवकी	devaki
देवगन	Devgan
देवगिरि	Devagiri
देवता	God
देवताओं	God
देवदत्त	Devadutt
देवदास	devadas
देवनागरी	Devanagari
देवराज	devaraj
देवलोक	Heaven
देवी	Goddess
देवेश	Devesh
देश	Country
देशपांडे	deshpande
देशभक्ति	Patriotic
देशभर	Country wide
देशमुख	Deshmukh
देशव्यापी	Country wide
देशी	Desi, citizen
देशों	Country
देसी	Citizen
देह	Body
देहरादून	Dehradun
दैनिक	Dainik
दॊगुनि	Twice
दॊनॊ	Both
दॊनॊं	Both
दॊपहर	Afternoon
दॊमुंहि	Double faced
दॊशहिन	Unconvicted
दॊशारॊपन	Accuse
दॊहॆ	Poem
दो	Two
दोगुना	Twice
दोगुनी	Twice
दोनो	Both
दोनों	Both
दोपहर	Afternoon
दोबारा	Again
दोमुंही	Double faced
दोष	Blame
दोषारोपण	Accuse
दोषी	Convict
दोस्त	Friend
दोस्ताना	Friendship
दोस्ती	Friendship
दोस्तों	Friends 
दोहरा	Repeat
दोहराया	Repeat
दोहरी	Repeat
दोहरे	Repeat
दोहे	Poem
दौड	Run
दौड़	Run
दौर	Version
दौरा	Repeat
दौरान	Repeat
दौरे	Repeat
दौलताबाद	Doulatabad
दौड़	Run
दौड़ती	Running
द्रविड	dravid
द्रविड़	Dravid
द्रविड़	Dravid
द्रव्य	Liquid
द्रोणाचार्य	Dronacharya
द्वार	Door
द्वारकानाथ	Dwarakanath
द्वारा	Due to
द्वितीय	Second
द्विपक्षीय	Bilateral
द्विभाषा	Bilingual
द्विवेदी	Dvivedi
द्वीप	Island
द्वीपसमूह	Cluster of islands
धंधा	Business
हैरान 	Tense 
हॉलीवुड 	hollywood 
होंठ	 Lips 
होटल 	Hotel 
होटलों 	Hotels 
हौसला	 Faith 
हौसले 	Faith 
